Boundary,ElementType,ParentPairs,Elements
1,303,5-30,1572
2,303,5-30,1274
3,303,5-30,1274
4,303,7-30,1572
5,303,7-30,1274
6,303,7-30,1274
10,303,1-30,752
11,303,1-30,1522
12,303,1-30,4459
13,303,1-30,4475
17,303,3-30,758
18,303,3-30,1490
19,303,3-30,4459
20,303,3-30,4475
24,303,20-30,8078
25,303,20-30,11710
26,303,20-30,4708
27,303,20-30,4708
28,303,30-exterior,5638
29,303,30-exterior,4019
30,303,30-exterior,4019
31,202,5-exterior,82
32,202,5-exterior,8
33,202,5-exterior,82
34,202,7-exterior,82
35,202,7-exterior,8
36,202,7-exterior,82
37,202,1-exterior,89
38,202,1-exterior,4
39,202,1-exterior,89
40,202,1-exterior,178
41,202,1-exterior,4
42,202,1-exterior,178
43,202,3-exterior,89
44,202,3-exterior,4
45,202,3-exterior,89
46,202,3-exterior,178
47,202,3-exterior,4
48,202,3-exterior,178
49,202,20-exterior,146
50,202,20-exterior,24
51,202,20-exterior,146
52,202,20-exterior,214
53,202,20-exterior,24
54,202,20-exterior,214
55,202,30-exterior,105
56,202,30-exterior,17
57,202,30-exterior,105
58,101,5-exterior,1
59,101,5-exterior,1
60,101,7-exterior,1
61,101,7-exterior,1
62,101,1-exterior,1
63,101,1-exterior,1
64,101,1-exterior,1
65,101,1-exterior,1
66,101,3-exterior,1
67,101,3-exterior,1
68,101,3-exterior,1
69,101,3-exterior,1
70,101,20-exterior,1
71,101,20-exterior,1
72,101,20-exterior,1
73,101,20-exterior,1
74,101,30-exterior,1
75,101,30-exterior,1
